Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000194	Solyc06T001124.1, Solyc09T002511.2, Solyc09T002509.1, Solyc09T002510.1, Solyc03T002034.1, Solyc03T002033.2, Solyc09T002507.1, Solyc12T000144.1, Solyc09T000409.1	CDY06655, CDY06220
OG0000195	Solyc10T000754.2, Solyc10T000752.1, Solyc10T000753.1, Solyc10T000755.1, Solyc03T000945.1, Solyc10T000751.1, Solyc10T000597.1, Solyc10T000604.1, Solyc10T000369.1, Solyc10T000603.1	CDY46892
OG0000196	Solyc03T002347.1, Solyc06T002057.1	CDY03641, CDX82152, CDY46144, CDY20307
OG0000197	Solyc10T002365.1, Solyc10T002361.1, Solyc10T002362.1	CDY71388, CDY06149, CDX77489, CDX85121, CDY06147, CDX72085, CDX72086, CDY06148, CDX77490, CDY71118, CDX67671, CDX67670, CDX76031, CDX76026, CDY47395, CDY47394, CDX76025, CDY47392, CDY47396, CDY69684, CDY68089, CDY71473, CDX76032, CDX76027, CDY23861, CDX97997, CDY72354, CDY06938, CDY14758
OG0000204	Solyc07T001192.1, Solyc05T001797.1, Solyc12T001098.1, Solyc03T000825.1, Solyc01T000989.1, Solyc01T001794.1, Solyc03T002070.1	CDY33593
OG0000208	Solyc03T000898.1, Solyc04T001882.1	CDY67346
OG0000208	Solyc09T002576.1	CDX85101, CDY67345, CDY09024, CDY18120, CDY54629, CDX85102
OG0000210	Solyc03T000851.1, Solyc03T000856.1, Solyc03T000853.1, Solyc01T004068.1, Solyc01T004066.1, Solyc01T004067.1, Solyc09T000738.1, Solyc01T004065.1, Solyc07T002196.1, Solyc01T004069.1, Solyc01T004072.1	CDX82316, CDY53037, CDY65790, CDX92297, CDX99286
OG0000211	Solyc04T001146.1, Solyc01T000921.1, Solyc00T000040.1, Solyc11T001068.1, Solyc01T000922.1, Solyc11T001070.1, Solyc01T000935.1	CDX71645, CDY19664
OG0000212	Solyc09T001224.1, Solyc00T000041.1, Solyc12T001525.1, Solyc11T001081.1, Solyc10T001029.1, Solyc04T001199.1, Solyc01T000950.1, Solyc10T000846.1, Solyc01T000936.1, Solyc11T001729.1	CDY45490, CDY19665, CDY54623, CDY63593, CDX71646, CDY19657, CDX95223
